DistanceFromHome,MonthlyIncome
1,5993
8,5130
2,2090
3,2909
2,3468
2,3068
3,2670
24,2693
23,9526
27,5237
16,2426
15,4193
26,2911
19,2661
24,2028
21,9980
5,3298
16,2935
2,15427
2,3944
11,4011
9,3407
7,11994
15,1232
6,2960
5,19094
16,3919
8,6825
7,10248
2,18947
2,2496
10,6465
9,2206
5,2086
1,2293
2,2645
3,2683
2,2014
5,3419
1,5376
4,1951
2,2341
25,2293
8,8726
1,4011
12,19545
23,4568
19,3022
5,5772
8,2269
1,5381
5,3441
1,5454
11,9884
23,4157
1,13458
18,9069
23,4014
7,5915
1,5993
1,6162
29,2406
7,18740
25,7637
8,10096
8,14756
11,6499
7,9724
1,2194
9,3388
1,5473
2,2703
1,2501
1,6220
6,3038
8,4424
1,4312
6,13245
7,13664
5,5021
1,5126
1,2859
1,10239
6,5329
1,4325
7,7260
2,2322
9,2075
2,4152
9,9619
1,13503
21,5441
4,5209
1,10673
6,5010
2,13549
3,4999
4,4221
10,13872
23,2042
6,2073
1,2956
6,2926
6,4809
2,5163
2,18844
1,18172
5,5744
7,2889
15,2871
1,7484
7,6074
26,17328
18,2774
6,4505
3,7428
5,11631
11,9738
3,2835
26,16959
23,2613
22,6146
14,4963
6,19537
6,6172
6,2368
23,10312
22,1675
2,2523
20,6567
28,4739
12,9208
20,4559
9,8189
25,2942
6,4941
8,10650
4,5902
28,8639
9,6347
9,4200
29,3452
3,4317
18,2632
9,4668
5,3204
2,2720
10,17181
9,2238
3,1483
26,5605
1,7295
6,2306
9,2348
8,8998
1,4319
7,6132
9,3346
4,10855
2,2231
19,2323
9,2024
21,2713
24,9439
3,2566
11,19926
14,2451
5,9419
1,8686
6,3038
17,3058
1,2325
3,2088
9,3072
4,5006
8,4257
2,2500
2,1102
1,10453
9,2288
12,3929
27,2311
20,3140
1,3690
13,4450
14,2756
4,19033
14,18722
2,9547
3,13734
1,19999
9,2279
23,5916
7,2089
2,16792
21,3564
2,4425
21,5265
2,6553
29,6261
1,4298
18,6804
10,3815
19,2741
29,6673
27,7639
5,2328
18,2153
9,4876
1,9396
4,10400
1,8474
20,9981
8,12490
3,2657
6,13591
26,6696
1,2058
6,8865
3,5940
5,5914
4,2622
11,12185
3,10609
1,4345
3,2177
4,2793
1,7918
1,8789
18,2389
2,3212
4,19232
6,2267
1,19517
14,2436
16,16064
2,2707
2,19068
4,3931
1,3730
1,2232
26,4465
19,3072
24,3319
1,19202
3,13675
5,2911
2,5957
1,3920
7,6434
10,10048
2,10938
15,2340
17,6545
20,6931
1,4898
2,2593
2,19436
1,2723
29,3479
7,2794
2,5249
2,2176
2,16872
2,3485
2,6644
23,5582
5,4000
20,13496
6,3210
1,19045
29,11849
9,2070
6,6502
3,3230
1,13603
22,11996
7,5605
1,6397
4,19144
3,17584
1,4907
2,4554
20,5415
11,4741
1,2115
24,3161
23,5745
16,2373
8,3310
10,18665
3,4485
5,2789
4,5828
9,2326
26,13525
3,1420
16,8020
18,3688
2,5482
2,16015
10,1200
16,5661
7,6929
1,9613
24,5674
7,5484
25,12061
1,5660
5,4821
2,6410
7,5210
2,2695
5,11878
10,17068
10,2455
1,13964
8,4941
5,2478
8,5228
2,4478
7,7547
2,5055
2,3464
28,5775
7,8943
7,19272
3,5238
10,4682
5,18300
10,5257
1,6349
20,4869
7,9985
8,3697
1,7457
8,2119
9,3983
5,6118
8,6214
5,6347
15,11510
7,7143
10,8268
5,8095
26,2904
6,6032
4,2976
23,15992
2,4649
2,2696
2,2370
29,12504
6,5974
25,4736
1,5296
2,6781
1,2174
1,6653
3,9699
1,6755
10,2213
9,2610
5,2851
10,3452
7,5258
4,9355
10,10496
22,6380
9,2657
12,2716
23,2201
9,6540
1,3816
9,5253
7,10965
14,4936
2,2543
19,5304
2,16659
10,4260
2,2476
3,3102
11,2244
2,7596
4,2285
14,3034
2,5715
1,2576
10,4197
12,14336
2,3448
5,19406
4,6538
7,4306
21,2258
8,4522
4,4487
25,4449
1,2218
1,19197
6,13212
12,6577
1,8392
17,4558
3,4031
3,7969
10,2654
4,16555
29,4556
2,6091
7,19566
18,4810
28,4523
1,3202
6,2351
2,1702
2,18041
23,2886
3,2097
3,11935
25,2546
2,2564
22,8412
29,14118
29,17046
2,2564
28,10266
2,5070
2,17861
22,4230
8,3780
2,2768
10,9071
9,10648
15,13610
10,3408
7,2983
16,7632
20,9824
23,9950
5,2093
10,9980
4,3894
2,4051
18,16835
10,6230
1,4717
6,13237
8,3755
2,6582
24,7406
2,4805
17,2741
19,4262
1,16184
7,11557
5,1878
28,10932
2,6811
29,4306
1,4859
21,5337
24,2340
1,7491
18,10527
2,16595
9,8834
6,5577
11,4707
24,2400
10,9824
1,6447
18,19502
23,2725
28,6272
17,2127
3,18200
13,2096
7,2886
12,2033
1,3622
13,4233
25,3681
6,5460
6,2187
